Time,Amplitude
4.6803,-0.00012709910904891
4.6804,-0.000141179705888697
4.6805,-0.000162481503097886
4.6806,-0.000207419244214321
4.6807,-0.0002253746282716
4.6808,-0.000262488224300255
4.6809,-0.000258260345231143
4.681,-0.00028022404122633
4.6811,-0.000295385051596992
4.6812,-0.00028886174935231
4.6813,-0.000293486344210004
4.6814,-0.000297881457704876
4.6815,-0.000310662031316669
4.6816,-0.000303415243200639
4.6817,-0.000302723251051239
4.6818,-0.000280889932479184
4.6819,-0.000269834311423462
4.682,-0.000256316858746054
4.6821,-0.000245791123615191
4.6822,-0.00021882367383037
4.6823,-0.00019177871404633
4.6824,-0.000192468626063165
4.6825,-0.000162191776544305
4.6826,-0.000150128672681926
4.6827,-0.000149214863473145
4.6828,-0.000127724569692868
4.6829,-0.000123011348671159
4.683,-0.000128435863429861
4.6831,-0.000111550413326927
4.6832,-0.000120656647258481
4.6833,-0.000130950693168597
4.6834,-0.000139427589788779
4.6835,-0.000152372138644084
4.6836,-0.000142512776382882
4.6837,-0.000137468903964207
4.6838,-0.000156096576051695
4.6839,-0.000134827172327103
4.684,-0.000136617311375025
4.6841,-0.000126243646150155
4.6842,-0.000127920580951208
4.6843,-0.000116628178620794
4.6844,-0.000123062593784711
4.6845,-0.000124396180211021
4.6846,-0.000108594235279527
4.6847,-0.000102654716203273
4.6848,-8.25069341503062e-05
4.6849,-9.31186338024832e-05
4.685,-5.09226421330887e-05
4.6851,-6.49742694023987e-05
4.6852,-4.61775991852895e-05
4.6853,-2.87434362092009e-05
4.6854,-2.31452584556564e-05
4.6855,-1.67415675234469e-05
4.6856,1.78449265655698e-05
4.6857,2.14425514275308e-05
4.6858,3.48227648898256e-05
4.6859,5.72865363598396e-05
4.686,6.00614764846116e-05
4.6861,9.69423561774569e-05
4.6862,9.94250919796477e-05
4.6863,0.000106809755220237
4.6864,0.000145556048491184
4.6865,0.000167600755909091
4.6866,0.000181942193952136
4.6867,0.000206325992777914
4.6868,0.000205338023569481
4.6869,0.00022486973065702
4.687,0.000212156872876097
4.6871,0.000214631921629101
4.6872,0.000222115111774117
4.6873,0.000201796854153659
4.6874,0.00019830130657129
4.6875,0.000217196108446312
4.6876,0.000209058188425178
4.6877,0.000215009627499319
4.6878,0.000226680167736097
4.6879,0.000204067812593642
4.688,0.00019418674735314
4.6881,0.000174367530083284
4.6882,0.000164496477842465
4.6883,0.0001416162149051
4.6884,0.000139385574935691
4.6885,0.00013538885274754
4.6886,0.000125665462670425
4.6887,9.87292289345596e-05
4.6888,0.000106489530112234
4.6889,0.000107398957786141
4.689,0.000109757434779358
4.6891,0.000103261661229676
4.6892,0.000118899299583113
4.6893,0.000100419467435452
4.6894,0.000107942101868302
4.6895,7.66337865760903e-05
4.6896,8.09710081647017e-05
4.6897,5.8525541138701e-05
4.6898,5.46960342103613e-05
4.6899,5.51440115331452e-05
4.69,5.19210421973002e-05
4.6901,5.50092427237666e-05
4.6902,6.73147290310553e-05
4.6903,6.2442838276005e-05
4.6904,6.83376297473581e-05
4.6905,7.80532279876354e-05
4.6906,9.55317098279438e-05
4.6907,8.63237066344745e-05
4.6908,0.000129397209881054
4.6909,0.000121033304331543
4.691,0.000126860741916501
4.6911,0.000140550850203561
4.6912,0.000125572028548083
4.6913,0.000143037428918246
4.6914,0.000136047336593579
4.6915,0.000153538682828546
4.6916,0.000149304679976142
4.6917,0.000164816786158274
4.6918,0.000163060825596684
4.6919,0.000161096017089595
4.692,0.00013151690770562
4.6921,0.000138372560254083
4.6922,0.000138163478607179
